graph_id,n,vertex,coverage_fraction
n200_s200026,200,22,0.9849246231155779
n200_s200026,200,125,0.9547738693467337
n200_s200026,200,168,0.9748743718592965
n200_s200026,200,33,1.0
n200_s200026,200,196,1.0
n200_s200026,200,104,0.9899497487437185
n200_s200029,200,146,1.0
n200_s200029,200,198,1.0
n200_s200029,200,91,0.995
n200_s200029,200,108,0.995
n200_s200029,200,174,0.995
n200_s200029,200,193,0.995
n200_s200029,200,14,1.0
n200_s200029,200,102,1.0
n200_s200029,200,77,1.0
n200_s200029,200,159,1.0
n200_s200029,200,166,0.79
n200_s200029,200,173,0.995
n200_s200029,200,23,1.0
n200_s200029,200,85,1.0
n200_s200029,200,70,1.0
n200_s200029,200,170,1.0
n200_s200029,200,93,0.99
n200_s200029,200,35,0.99
n200_s200029,200,183,1.0
n200_s200029,200,118,1.0
n200_s200035,200,164,1.0
n200_s200035,200,45,1.0
n200_s200035,200,150,0.995
n200_s200035,200,185,1.0
n200_s200035,200,196,1.0
n200_s200035,200,66,0.965
n200_s200035,200,82,1.0
n200_s200035,200,103,0.995
n200_s200035,200,22,1.0
n200_s200035,200,166,0.995
n200_s200035,200,190,1.0
n200_s200035,200,53,1.0
n200_s200035,200,161,0.995
n200_s200035,200,170,1.0
n200_s200035,200,158,1.0
n200_s200035,200,89,1.0
n200_s200035,200,197,1.0
n200_s200035,200,38,0.985
n200_s200035,200,51,1.0
n200_s200035,200,125,1.0
n200_s200037,200,59,0.995
n200_s200037,200,139,0.99
n200_s200037,200,146,1.0
n200_s200037,200,199,1.0
n200_s200037,200,156,1.0
n200_s200037,200,72,1.0
n200_s200037,200,18,1.0
n200_s200037,200,49,1.0
n200_s200037,200,140,1.0
n200_s200037,200,101,0.98
n200_s200037,200,159,0.99
n200_s200037,200,77,0.995
n200_s200037,200,181,0.995
n200_s200037,200,196,1.0
n200_s200037,200,55,1.0
n200_s200037,200,186,1.0
n200_s200037,200,98,0.825
n200_s200037,200,125,0.99
n200_s200037,200,50,1.0
n200_s200037,200,168,1.0
n200_s200044,200,89,0.99
n200_s200044,200,58,1.0
n200_s200044,200,157,1.0
n200_s200044,200,90,1.0
n200_s200044,200,93,1.0
n200_s200044,200,34,1.0
n200_s200044,200,184,1.0
n200_s200044,200,110,0.995
n200_s200044,200,168,0.995
n200_s200044,200,118,1.0
n200_s200044,200,28,1.0
n200_s200044,200,175,1.0
n200_s200044,200,178,1.0
n200_s200044,200,172,0.995
n200_s200044,200,39,1.0
n200_s200044,200,11,1.0
n200_s200044,200,183,1.0
n200_s200044,200,121,0.975
n200_s200044,200,160,0.995
n200_s200044,200,36,1.0
n200_s200050,200,84,1.0
n200_s200050,200,157,1.0
n200_s200050,200,100,1.0
n200_s200050,200,114,1.0
n200_s200050,200,28,1.0
n200_s200050,200,186,1.0
n200_s200050,200,8,1.0
n200_s200050,200,98,0.99
n200_s200050,200,183,1.0
n200_s200050,200,172,0.99
n200_s200050,200,121,1.0
n200_s200050,200,140,0.96
n200_s200050,200,89,1.0
n200_s200050,200,80,1.0
n200_s200050,200,193,0.995
n200_s200050,200,113,1.0
n200_s200050,200,53,0.995
n200_s200050,200,26,1.0
n200_s200050,200,31,1.0
n200_s200050,200,72,1.0
n200_s200054,200,10,1.0
n200_s200054,200,50,0.9899497487437185
n200_s200054,200,190,1.0
n200_s200054,200,47,1.0
n200_s200054,200,181,1.0
n200_s200054,200,1,1.0
n200_s200054,200,182,1.0
n200_s200054,200,119,1.0
n200_s200054,200,109,1.0
n200_s200054,200,155,1.0
n200_s200054,200,192,0.9949748743718593
n200_s200054,200,123,1.0
n200_s200054,200,91,1.0
n200_s200054,200,89,1.0
n200_s200054,200,188,1.0
n200_s200054,200,6,1.0
n200_s200054,200,114,1.0
n200_s200054,200,66,1.0
n200_s200054,200,81,1.0
n200_s200054,200,160,0.9949748743718593
n200_s200058,200,182,0.97
n200_s200058,200,161,0.97
n200_s200058,200,198,0.995
n200_s200058,200,78,1.0
n200_s200058,200,97,0.99
n200_s200058,200,91,0.985
n200_s200058,200,102,1.0
n200_s200058,200,24,1.0
n200_s200058,200,11,1.0
n200_s200058,200,123,1.0
n200_s200058,200,62,0.995
n200_s200058,200,79,1.0
n200_s200058,200,187,0.96
n200_s200058,200,120,1.0
n200_s200058,200,122,1.0
n200_s200058,200,48,0.985
n200_s200058,200,42,1.0
n200_s200058,200,166,0.975
